Year,Anchovy,Pilchard,Chub mackerel,Horse mackerel,Mackerel,Jack mackerel,metric tons
1964,5449.2,12984.4,1720.7,4022.4,NA,NA,Greek Fisheries Statistical Reports
1965,4263.5,10611.1,1278.5,4158.3,NA,NA,Table IV. Total column
1966,5146.4,11437.8,802.6,3012.1,NA,NA,
1967,7271.5,8987,1752,2686.4,NA,NA,
1968,6352.5,9119.8,2123.7,3185.1,NA,NA,
1969,7036.3,10615.3,1344.9,3244.3,NA,NA,
1970,6373.2,8822.7,1026.4,2684.4,NA,NA,
1971,6369.6,9132.3,927.9,2718.7,NA,NA,
1972,8494.8,11743.9,945.3,3795.3,NA,NA,
1973,8064.2,13241.8,1035.2,4657,NA,NA,
1974,6174.9,10921.9,895.4,5754,NA,NA,
1975,5674.6,12488.2,1361.3,6162.3,NA,NA,
1976,9281.4,12674.4,1910.6,7214.2,NA,NA,
1977,7328.7,12148.5,1921.6,7150,NA,NA,
1978,8357.5,11888.1,1941.9,8447,NA,NA,
1979,9865.1,12715,1769.1,8310.7,NA,NA,
1980,11223.6,12062.3,1373.6,7513.3,NA,NA,
1981,9991.5,12454.4,1564,7127.8,NA,NA,
1982,14210.2,12376.3,1722.4,6321,286,1613.3,
1983,12151.4,10236,3314.2,5758.7,250.3,1791.3,
1984,16529.7,10356.2,2743.1,7006.8,575.7,1207.9,
1985,17544.3,11490.4,3122.9,8968.3,373.3,1610.9,
1986,18338.6,10365.7,2789.5,9961.7,330.4,734,
1987,24735.6,9685,3165.6,8575,685.1,677.5,
1988,19182.1,9831.4,3265.8,6629.8,472.6,863.7,
1989,14791,10238.7,4326,6346.7,1181.3,587.9,
1990,14668.8,11053,3215.5,5388.9,3524.5,536.6,
1991,13626.5,14365.5,3997.8,7103.7,1224.4,566.3,
1992,11520.1,20691.2,5154.6,8578.1,2182.7,479.9,
1993,14604,20701.9,11003.3,8262,1550.7,581.4,
1994,17338.8,20272.8,14311.9,11322.8,1360.5,1628.3,
1995,13874.4,20413,6469.1,8331.7,687,1861,
1996,15071.7,18896.2,6522,8034,887.1,2484.8,
1997,14572.2,20468.9,5645.4,7136.5,304.1,2937,
1998,17530.2,18490.6,2231.8,4522.2,150,1370,
1999,16455.5,15213.6,1850.5,3534.1,199.9,942.4,
2000,9863,16026.2,2286.5,3901.8,443.4,774.7,
2001,10769.9,14395,1829.4,3407.6,154.5,746.9,
2002,9975.8,16330.6,3187.5,3086.3,314.8,754.5,
2003,13780.3,8666.6,2784.5,2496.5,317.6,776.4,
2004,13403.7,9216.7,2937.1,2574,397.5,609.3,
2005,11323.5,11258.3,3472.8,2808.9,310.4,710.4,
2006,14156,11321,3277.3,3338.6,765.3,536.9,
2007,16020,9410.2,3016.9,2829.6,550.4,534,
